name,lat,lon,rating,user_ratings_total,types
Nishat Linen,33.7219995,73.0599162,4.2,207,"clothing_store, store, point_of_interest, establishment"
Adidas,33.7121229,73.0613101,3.7,116,"clothing_store, store, point_of_interest, establishment"
ChenOne Jinnah Super,33.72231290000001,73.05990109999999,4.2,465,"clothing_store, store, point_of_interest, establishment"
Needle Impressions,33.7218171,73.058841,4.1,16,"clothing_store, store, point_of_interest, establishment"
UNITED COLORS OF BENETTON.,33.707706,73.04990099999999,4.5,10,"clothing_store, store, point_of_interest, establishment"
Samad Brothers,33.70740259999999,73.0887985,4.7,97,"clothing_store, store, point_of_interest, establishment"
GOHAR Advertiser,33.7118214,73.06177989999999,4.1,504,"clothing_store, general_contractor, store, point_of_interest, establishment"
Mala Couture,33.69761219999999,73.0507293,4.0,2,"clothing_store, store, point_of_interest, establishment"
Fitin,33.708813,73.0560186,5.0,1,"clothing_store, store, point_of_interest, establishment"
Zeitgeist,33.7095716,73.0565414,4.0,158,"clothing_store, store, point_of_interest, establishment"
LEISURE CLUB,33.7075917,73.05010899999999,3.4,21,"clothing_store, store, point_of_interest, establishment"
Motifz,33.708035,73.050671,3.6,9,"clothing_store, home_goods_store, store, point_of_interest, establishment"
Celebration,33.7077874,73.0503166,5.0,2,"clothing_store, store, point_of_interest, establishment"
Malbus,33.7079106,73.0504258,4.1,56,"clothing_store, store, point_of_interest, establishment"
Cougar,33.7076522,73.0500574,4.4,68,"clothing_store, store, point_of_interest, establishment"
Minnie Minors,33.7075442,73.04991559999999,4.2,61,"clothing_store, store, point_of_interest, establishment"
Mohtaram,33.7123835,73.06183779999999,4.2,121,"clothing_store, shoe_store, store, point_of_interest, establishment"
Giordano - The Centaurus Mall,33.70774719999999,73.04993590000001,4.8,17,"clothing_store, store, point_of_interest, establishment"
Outfitters Centaurus,33.7077236,73.0498827,4.2,300,"clothing_store, store, point_of_interest, establishment"
The Cambridge Shop - Zeen - Guts,33.70782989999999,73.04995439999999,3.8,86,"clothing_store, store, point_of_interest, establishment"
ADIDAS,33.707865,73.049988,4.1,156,"clothing_store, point_of_interest, store, establishment"
Amir Adnan,33.707684,73.0496316,3.6,22,"clothing_store, point_of_interest, store, establishment"
Ego,33.70767519999999,73.0495918,4.2,66,"clothing_store, point_of_interest, store, establishment"
Breakout,33.7078346,73.0495897,4.1,299,"clothing_store, point_of_interest, store, establishment"
Bonanza,33.7076105,73.0492759,4.2,214,"clothing_store, point_of_interest, store, establishment"
Motifz,33.7143571,73.0663484,3.7,7,"clothing_store, home_goods_store, point_of_interest, store, establishment"
Taana Baana- Panoramic Embroideries,33.70932739999999,73.0479067,4.0,3,"clothing_store, point_of_interest, store, establishment"
Top Shop,33.68440499999999,73.04212,4.5,8,"clothing_store, point_of_interest, store, establishment"
Foreign se Forun,33.7084282,73.0454353,4.7,3,"clothing_store, point_of_interest, store, establishment"
Ensemble,33.7090346,73.0457735,3.6,88,"clothing_store, point_of_interest, store, establishment"
Professional Uniforms/Ashar Stores,33.715113,73.05494399999999,3.7,90,"clothing_store, point_of_interest, store, establishment"
Urban Apparel,33.6689674,73.0755927,4.3,4,"clothing_store, point_of_interest, store, establishment"
IQ MEN'S WEAR BY SANA SUITING,33.7192386,73.0747001,4.5,77,"clothing_store, point_of_interest, store, establishment"
Paragon Cloth Centre,33.7192668,73.0746344,4.8,172,"home_goods_store, clothing_store, point_of_interest, store, general_contractor, establishment"
dresses,33.7116014,73.0398129,1.0,1,"clothing_store, point_of_interest, store, establishment"
ADIDAS,33.7202828,73.05583419999999,4.0,59,"clothing_store, point_of_interest, store, establishment"
Diners Shop Safa Gold Mall,33.7203262,73.0555621,3.9,59,"clothing_store, point_of_interest, store, establishment"
Bonanza Satrangi,33.72058800000001,73.055604,4.3,35,"clothing_store, point_of_interest, store, establishment"
Khaadi,33.7207122,73.0556022,4.2,220,"clothing_store, point_of_interest, store, establishment"
Gold Bank,33.7213257,73.058388,4.9,652,"jewelry_store, clothing_store, finance, point_of_interest, store, establishment"
Labels Islamabad,33.721479,73.059061,4.0,42,"clothing_store, point_of_interest, store, establishment"
Exalt Garments || Factory Outlet,33.6876507,73.0320772,4.7,11,"clothing_store, point_of_interest, store, establishment"
BHS Garments & Cosmetics,33.7213247,73.0571509,4.5,4,"clothing_store, point_of_interest, store, establishment"
Outfitters Factory Outlet G9,33.6900646,73.03106199999999,4.1,1286,"clothing_store, point_of_interest, store, establishment"
Glamour Fabrics,33.688551,73.0313283,4.2,36,"clothing_store, point_of_interest, store, establishment"
Hayee's Cosmetics,33.7220168,73.0582871,4.2,118,"electronics_store, clothing_store, point_of_interest, store, establishment"
Mens Fashion,33.7220027,73.0580638,4.5,11,"clothing_store, point_of_interest, store, establishment"
Chinyere,33.7223043,73.0597985,4.3,36,"clothing_store, point_of_interest, store, establishment"
Kayseria,33.722599,73.0603063,4.5,65,"clothing_store, point_of_interest, store, establishment"
Leisure Club,33.7226756,73.0604551,4.3,78,"clothing_store, point_of_interest, store, establishment"
Cubby.PK,33.7191661,73.0474686,4.0,22,"clothing_store, point_of_interest, store, establishment"
Saira Temuri's MARSHACE,33.7228751,73.0597319,5.0,3,"clothing_store, point_of_interest, store, establishment"
Outfitters,33.7211868,73.0509359,4.1,345,"clothing_store, point_of_interest, store, establishment"
AlBalagh Islamic Store F8 Islamabad,33.71252359999999,73.0370495,4.7,113,"book_store, clothing_store, point_of_interest, store, establishment"
Xport Private Limited,33.6648585,73.05250199999999,4.0,2,"clothing_store, point_of_interest, store, establishment"
D.WATSON CHEMIST F-6 MARKAZ,33.7297008,73.0754236,4.3,271,"pharmacy, shoe_store, clothing_store, health, point_of_interest, store, establishment"
MOJAY,33.7298964,73.0770836,4.0,1,"shoe_store, shopping_mall, clothing_store, furniture_store, home_goods_store, point_of_interest, store, establishment"
"Kayal, Islamabad",33.7305509,73.079166,4.3,36,"clothing_store, point_of_interest, store, establishment"
Junaid Jamshed Clothes & Accessories,33.6940208,73.01488490000001,4.1,516,"clothing_store, point_of_interest, store, establishment"
Siawish Mall,33.652125,73.0722977,3.9,79,"clothing_store, point_of_interest, store, establishment"
