name,lat,lon,rating,user_ratings_total,types
Islamabad Medical Complex Pharmacy,33.72415049999999,73.0842687,2.0,2.0,"pharmacy, health, point_of_interest, store, establishment"
D.WATSON CHEMIST F-6 MARKAZ,33.7297008,73.0754236,4.3,271.0,"pharmacy, shoe_store, clothing_store, health, point_of_interest, store, establishment"
Medical Store,33.6930126,73.0590319,3.8,16.0,"pharmacy, health, point_of_interest, store, establishment"
Al-Rehman Homeopathic Clinic & Store,33.699273,73.0647863,,,"pharmacy, health, point_of_interest, store, establishment"
"RG Trade , all types of import Medicine",33.6984468,73.06989469999999,,,"pharmacy, health, point_of_interest, store, establishment"
Shahida Khaliq Pharmacy,33.69225919999999,73.0576099,,,"pharmacy, health, point_of_interest, store, establishment"
SK Pharmacy,33.6922052,73.05746990000002,2.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
Postal Dispensary,33.6931702,73.0569403,3.0,4.0,"pharmacy, health, point_of_interest, store, establishment"
Raza pharmacy,33.6911049,73.0553245,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
Faisal Homeo Clinic,33.70357140000001,73.07127000000001,,,"pharmacy, health, point_of_interest, store, establishment"
Kazim Medical Store,33.705061,73.067903,4.8,4.0,"pharmacy, health, point_of_interest, store, establishment"
Hoorain Pharmacy,33.6923323,73.0511277,5.0,2.0,"pharmacy, health, point_of_interest, store, establishment"
Capital Diagnostic Center Pharmacy,33.694824,73.0510271,5.0,3.0,"pharmacy, health, point_of_interest, store, establishment"
Minahil Pharmacy,33.7053804,73.06828449999999,4.8,12.0,"pharmacy, health, point_of_interest, store, establishment"
Omer Pharmacy,33.6969906,73.0512707,5.0,3.0,"pharmacy, health, point_of_interest, store, establishment"
Zainab Pharmacy,33.6970831,73.0510257,4.0,18.0,"pharmacy, health, point_of_interest, store, establishment"
Med Cure pharmacy,33.6970644,73.0509077,4.9,9.0,"pharmacy, health, point_of_interest, store, establishment"
Islamabad Pharmacy,33.696769,73.05077039999999,5.0,14.0,"pharmacy, health, point_of_interest, store, establishment"
The Biogene Pharmacy,33.6979233,73.0505962,,,"pharmacy, health, point_of_interest, store, establishment"
Timing Tablets in Islamabad,33.69671749999999,73.0500428,4.8,6.0,"pharmacy, health, point_of_interest, store, establishment"
AL SAFIYA Pharmacy,33.6967178,73.0500426,,,"pharmacy, health, point_of_interest, store, establishment"
City Pharmacy,33.69812460000001,73.0504998,3.3,9.0,"pharmacy, health, point_of_interest, store, establishment"
Unique Chemist,33.6956132,73.04975089999999,,,"pharmacy, health, point_of_interest, store, establishment"
Qadir Medicos Medical & General Store,33.69576139999999,73.04976190000001,,,"pharmacy, health, point_of_interest, store, establishment"
Imran Pharmacy,33.70421090000001,73.0557638,2.7,19.0,"pharmacy, health, point_of_interest, store, establishment"
Owais Medicos,33.70693929999999,73.06828449999999,4.3,3.0,"pharmacy, health, point_of_interest, store, establishment"
Al-Fayyaz Medical Store & Cosmetics,33.7070416,73.0686332,,,"pharmacy, health, point_of_interest, store, establishment"
Kashmir Medicos,33.6990583,73.049594,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
Al-Shahbaz Pharmacy,33.6990406,73.0495596,2.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
Aiman Medicos,33.6991001,73.0494928,,,"pharmacy, health, point_of_interest, store, establishment"
Abbasi Pharmacy,33.6990218,73.04945359999999,4.3,3.0,"pharmacy, health, point_of_interest, store, establishment"
Mri,33.6981704,73.0490511,4.9,177.0,"pharmacy, hospital, doctor, health, point_of_interest, store, establishment"
Capital Medical Store & Surgical,33.6989737,73.04939259999999,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
Ghori Pharmacy,33.6990274,73.04935189999999,5.0,2.0,"pharmacy, health, point_of_interest, store, establishment"
Khalil Chemist & General Store,33.6993069,73.04946050000001,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
Noor's Medical Centre,33.6979657,73.048813,5.0,1.0,"pharmacy, hospital, health, point_of_interest, store, establishment"
Don Chemist,33.6994654,73.0493164,,,"pharmacy, health, point_of_interest, store, establishment"
Live well,33.6984103,73.04878769999999,4.5,4.0,"pharmacy, health, point_of_interest, store, establishment"
Shaheen Chemist,33.6991939,73.0488153,4.0,91.0,"pharmacy, health, point_of_interest, store, establishment"
Qasim khan,33.699175,73.04878099999999,,,"pharmacy, health, point_of_interest, store, establishment"
Jan Sons Pharmacy,33.6991951,73.04878959999999,4.8,12.0,"pharmacy, point_of_interest, health, store, establishment"
Akram Pharmacy,33.6991308,73.0487539,3.6,11.0,"pharmacy, point_of_interest, health, store, establishment"
Waheed Chemist & Optics,33.6991215,73.0486346,4.2,120.0,"pharmacy, point_of_interest, health, store, establishment"
Kashmir Pharmacy,33.6989867,73.0485523,3.4,15.0,"pharmacy, point_of_interest, health, store, establishment"
Max Health Pharmacy PVT LTD,33.6992672,73.0486647,5.0,3.0,"pharmacy, point_of_interest, health, store, establishment"
Pakistan Pharmacy,33.6990627,73.0485336,3.9,55.0,"pharmacy, point_of_interest, health, store, establishment"
Khalil Pharmacy,33.6987791,73.0479761,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
FIA Dispensary,33.68756,73.04754,3.9,7.0,"pharmacy, point_of_interest, health, store, establishment"
D-Light Pharmacy,33.70868749999999,73.0559375,4.1,35.0,"pharmacy, point_of_interest, health, store, establishment"
Sehat Pharmacy,33.7087416,73.05588449999999,4.7,3.0,"pharmacy, point_of_interest, health, store, establishment"
D.Light Pharmacy,33.7059887,73.0510932,5.0,7.0,"pharmacy, point_of_interest, health, store, establishment"
Rizwan yhaya,33.6844202,73.04788479999999,,,"pharmacy, point_of_interest, health, store, establishment"
Zaheer medical,33.6844202,73.04788479999999,,,"pharmacy, point_of_interest, health, store, establishment"
