name,lat,lon,rating,user_ratings_total,types
Hotel Ambassador Inn,33.7050954,73.08322609999999,3.9,882.0,"lodging, restaurant, food, point_of_interest, establishment"
Subway,33.71173,73.06053779999999,4.2,1580.0,"restaurant, food, point_of_interest, establishment"
Bolan Saltish Sajji House Restaurant and Caters,33.7129563,73.06288099999999,4.1,1364.0,"restaurant, food, point_of_interest, establishment"
Jahangir Balti & Bar-B-Q,33.7119301,73.0608486,3.9,3052.0,"restaurant, food, point_of_interest, establishment"
Habibi Restaurant F-8,33.71231249999999,73.03943749999999,4.1,6187.0,"restaurant, food, point_of_interest, establishment"
OPTP,33.721215,73.0593184,4.1,1248.0,"restaurant, food, point_of_interest, establishment"
Charcoal Lounge,33.6667036,73.0738695,4.0,224.0,"cafe, restaurant, food, point_of_interest, establishment"
TKR 3,33.6951129,73.07580899999999,4.7,26461.0,"restaurant, food, point_of_interest, establishment"
Tandoori Restaurant G-8,33.6986158,73.0474914,4.3,7101.0,"restaurant, food, point_of_interest, establishment"
Haleem Ghar Blue Area,33.71017229999999,73.0575612,4.3,9165.0,"meal_takeaway, restaurant, food, point_of_interest, store, establishment"
Loafology Bakery & Cafe,33.7106518,73.05857569999999,4.3,6361.0,"bakery, cafe, restaurant, food, point_of_interest, store, establishment"
Domino's Pizza,33.7108744,73.0592053,4.1,3606.0,"restaurant, food, point_of_interest, establishment"
Hardee's,33.7074963,73.0499944,4.0,563.0,"restaurant, food, point_of_interest, establishment"
La Terrazza,33.7083007,73.0506391,3.9,1437.0,"meal_delivery, restaurant, food, point_of_interest, establishment"
Cinnabon,33.707829,73.04995400000001,4.0,351.0,"cafe, restaurant, food, point_of_interest, store, establishment"
KFC - Centaurus Mall,33.70743069999999,73.04933489999999,4.0,2518.0,"restaurant, food, point_of_interest, establishment"
Subway,33.70806059999999,73.05014930000002,4.0,194.0,"restaurant, food, point_of_interest, establishment"
Pizza Hut,33.70760300000001,73.048993,4.1,3105.0,"restaurant, meal_delivery, food, point_of_interest, establishment"
Ramna Restaurant,33.7080433,73.088928,4.1,302.0,"restaurant, food, point_of_interest, establishment"
Foodways,33.7181254,73.0605661,4.2,5.0,"restaurant, food, point_of_interest, establishment"
Talbeenah Restaurant,33.66910910000001,73.0740524,,,"restaurant, food, point_of_interest, establishment"
Chilman Restaurant,33.6870905,73.03512119999999,4.1,3219.0,"restaurant, food, point_of_interest, establishment"
New Yorker Pizza,33.70630800000001,73.03759529999999,4.2,7991.0,"meal_delivery, restaurant, food, point_of_interest, establishment"
Subway,33.6690276,73.07564169999999,4.3,890.0,"restaurant, food, point_of_interest, establishment"
Capital Caterers & Decorators | Catering Services & Event Planner,33.7117206,73.0382214,4.8,78.0,"restaurant, food, store, point_of_interest, establishment"
Awan Foods Restaurant & Caterers,33.711337,73.040905,3.9,324.0,"restaurant, food, point_of_interest, establishment"
Subway,33.71924899999999,73.05350539999999,4.2,540.0,"restaurant, food, point_of_interest, establishment"
Le Casa Del Habanos,33.7201484,73.0736718,3.7,16.0,"bar, lodging, restaurant, food, store, point_of_interest, establishment"
Khoka Khola,33.7202103,73.0734312,4.2,3078.0,"restaurant, food, point_of_interest, establishment"
Dainty Fast Food,33.7104752,73.0389247,4.1,1492.0,"restaurant, food, point_of_interest, establishment"
Ox & Grill Steakhouse,33.7193422,73.05289379999999,4.4,4442.0,"restaurant, food, point_of_interest, establishment"
Sam's Grill Pvt Ltd,33.7203262,73.0555621,4.3,12.0,"restaurant, food, point_of_interest, establishment"
Ali Foods Court,33.7203262,73.0555621,3.0,1.0,"restaurant, food, point_of_interest, establishment"
Gloria Jean's Coffees I - 8,33.6673988,73.07538199999999,4.1,1769.0,"cafe, restaurant, food, store, point_of_interest, establishment"
KFC - I8 Islamabad,33.6672814,73.0752088,4.1,5484.0,"restaurant, food, point_of_interest, establishment"
Kim Mun Chinese Restaurant,33.7212914,73.05863289999999,4.0,2158.0,"restaurant, food, point_of_interest, establishment"
Pappasallis,33.722376,73.059715,4.1,3448.0,"restaurant, food, point_of_interest, establishment"
Tayto,33.7221597,73.0582213,4.1,91.0,"restaurant, food, point_of_interest, establishment"
Naveed Caterers & Event Management,33.7122233,73.03814969999999,5.0,118.0,"restaurant, food, store, point_of_interest, establishment"
Burn Out Restaurant & Cafe,33.7227584,73.0595668,4.0,1660.0,"cafe, bar, restaurant, food, point_of_interest, establishment"
Arz Lebanon Restaurant,33.72305749999999,73.05992859999999,4.0,1578.0,"restaurant, food, point_of_interest, establishment"
Yum Chinese & Thai,33.7215943,73.05105549999999,4.3,5204.0,"restaurant, food, point_of_interest, establishment"
Noor's Kitchen Restaurant,33.6638688,73.0756634,4.3,819.0,"restaurant, food, point_of_interest, establishment"
Howdy Islamabad,33.7260795,73.0578343,4.4,14815.0,"restaurant, food, point_of_interest, establishment"
Tikala,33.726979,73.07245449999999,3.2,5.0,"restaurant, food, point_of_interest, establishment"
Chefling Kitchen,33.6662883,73.0413549,4.4,8.0,"bakery, restaurant, food, point_of_interest, store, establishment"
Street Burger,33.7280857,73.0746539,4.2,904.0,"restaurant, food, point_of_interest, establishment"
Shaheen Burger & Refreshment Center,33.66193489999999,73.0847084,3.7,12.0,"restaurant, food, point_of_interest, establishment"
KFC F-6 Markaz,33.7292945,73.0747706,4.0,7374.0,"restaurant, food, point_of_interest, establishment"
chaayé khana,33.7293296,73.0749493,4.3,9414.0,"cafe, restaurant, food, point_of_interest, store, establishment"
Naan Dhaaba,33.72924460000001,73.0758586,4.2,1229.0,"restaurant, food, point_of_interest, establishment"
Khyber Dodai,33.7297595,73.0754039,4.1,3193.0,"restaurant, food, point_of_interest, establishment"
"Saddle Room, Islamabad Club",33.6947447,73.109706,4.4,842.0,"restaurant, food, point_of_interest, establishment"
Pizza Hut,33.729748,73.076788,4.0,1463.0,"restaurant, meal_delivery, food, point_of_interest, establishment"
Munchies Snack Bar,33.7305975,73.0771042,3.7,2250.0,"restaurant, food, point_of_interest, establishment"
14th Street Pizza Co.,33.7271085,73.086803,4.2,1462.0,"restaurant, food, point_of_interest, establishment"
Subway,33.73074699999999,73.07734549999999,4.2,935.0,"restaurant, food, point_of_interest, establishment"
Afghan Tikka House And Pulao,33.6563076,73.05561399999999,4.3,1165.0,"restaurant, lodging, food, point_of_interest, establishment"
McDonald's,33.69153719999999,73.0191789,4.3,16441.0,"restaurant, food, point_of_interest, establishment"
4 Friends Reci-p,33.6707596,73.1048752,3.9,96.0,"restaurant, food, point_of_interest, establishment"
