name,lat,lon,rating,user_ratings_total,types
National University Of Modern Languages (NUML),33.6658795,73.0502492,4.5,2621.0,"university, point_of_interest, establishment"
Air University Islamabad,33.713832,73.02465400000001,4.3,2037.0,"university, point_of_interest, establishment"
SKANS CAT/ACCA Campus,33.7103635,73.04023699999999,3.9,20.0,"university, point_of_interest, establishment"
The Knowledgean Institute,33.7167546,73.08415149999999,4.2,48.0,"university, point_of_interest, establishment"
Institute of Arabic Language - Islamabad,33.7068949,73.0461315,4.9,30.0,"university, point_of_interest, establishment"
"Allama Iqbal Open University, Islamabad Pakistan",33.6850236,73.05474199999999,4.3,2758.0,"university, point_of_interest, establishment"
Islamabad Model College for Boys F-8/4,33.70742620000001,73.0413421,4.3,91.0,"university, point_of_interest, establishment"
Mentorus,33.7194529,73.075276,,,"university, accounting, finance, point_of_interest, establishment"
OPF Boys College,33.6823151,73.0704398,4.0,150.0,"university, point_of_interest, establishment"
Roots International Schools and Colleges (Wellington Campus),33.6794757,73.06952559999999,4.2,281.0,"university, point_of_interest, establishment"
Shifa Tameer-e-Millat University,33.6777366,73.0661429,4.3,176.0,"university, point_of_interest, establishment"
Riphah International University (Islamabad Campus),33.705605,73.0794011,4.3,283.0,"university, point_of_interest, health, establishment"
"Punjab College of Commerce, Islamabad",33.70575599999999,73.08543329999999,4.2,41.0,"university, point_of_interest, establishment"
Preston University,33.6752744,73.0636475,4.1,423.0,"university, point_of_interest, establishment"
Jamia Naeemia,33.6914401,73.04084569999999,4.7,64.0,"university, point_of_interest, establishment"
Alhamd School Of Islam & Modern Sciences,33.7054068,73.0367723,,,"university, point_of_interest, establishment"
Salafia Universityالجامعہ السلفیہ,33.6710884,73.0594995,4.8,34.0,"university, point_of_interest, establishment"
Riphah Institute of Systems Engineering,33.7178469,73.0555777,4.3,16.0,"university, point_of_interest, establishment"
Islamabad Model School For Girls,33.7164204,73.0465917,4.3,33.0,"university, school, point_of_interest, establishment"
Institute of Business Leadership (IBL),33.7129848,73.0408368,4.8,159.0,"university, accounting, finance, point_of_interest, establishment"
Chanab College,33.7117708,73.0383373,4.2,31.0,"university, point_of_interest, establishment"
Islamabad Model College for Girls G-9/2,33.6888047,73.02650729999999,4.3,70.0,"university, point_of_interest, establishment"
UCPE,33.7127385,73.0369189,,,"university, point_of_interest, establishment"
Institute of Chartered Management Accountants of Pakistan (ICMAP),33.6672976,73.0442441,4.5,312.0,"university, point_of_interest, establishment"
Bahria University Drop Lane,33.71550839999999,73.0307981,4.1,25.0,"university, point_of_interest, establishment"
"Iqra College of Technology, Islamabad",33.6604692,73.0385869,4.3,64.0,"university, point_of_interest, establishment"
Federal Government College for Girls,33.680244,73.01798529999999,4.3,68.0,"university, point_of_interest, establishment"
Iqra University - Islamabad Campus (IUIC),33.6643322,73.0453515,4.4,848.0,"university, point_of_interest, establishment"
"VIBD01, Virtual University Campus, Islamabad",33.67711589999999,73.0169603,4.5,471.0,"university, point_of_interest, establishment"
University Institute of Information Technology - PMAS Arid Agriculture University,33.65107379999999,73.0790085,4.6,268.0,"university, point_of_interest, establishment"
Universal College Islamabad (UCI),33.6708076,73.04429619999999,4.4,35.0,"university, accounting, finance, point_of_interest, establishment"
OPF Girls College,33.7140353,73.0382731,4.2,287.0,"university, school, point_of_interest, establishment"
Skans School of Accountancy,33.7103898,73.04006389999999,3.9,139.0,"university, accounting, finance, point_of_interest, establishment"
"Islamabad Model College for Boys H-9, Islamabad",33.67199989999999,73.0555207,4.3,245.0,"university, point_of_interest, establishment"
Islamabad Model College for Boys I-8/3,33.6711395,73.0738305,4.4,119.0,"university, point_of_interest, establishment"
Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,33.6771812,73.0680618,4.4,623.0,"university, point_of_interest, establishment"
