,name,lat,lon
0,علامہ اقبال اوپن یونیورسٹی,33.6842062,73.0555742
1,Health Services Academy,33.6884698,73.1415256
2,Environmental Biology Lab,33.7479261,73.13552
3,Muslim Youth University Islamabad,33.6746679,73.0237449
4,The University Of Lahore - Islamabad Old Campus,33.7238296,73.0834103
5,"Pakistan Institute of Fashion Design, Islamabad",33.7204196,73.0930397
6,Prime University,33.7173091,73.0905828
7,University College of Islamabad,33.7128949,73.0345902
8,Comwave Institute,33.7109944,73.0383734
9,Jamia Ahlilbait,33.7157461,73.0619886
10,Management Development Institute,33.6875678,73.0508549
11,University of Lahore,33.570551,73.235395
12,NATIONAL ISLAMIC UNIVERSITY,33.6565568,73.024964
13,Bahria University - Islamabad Campus,33.7155774,73.0289127
14,The University Spoken English & Computer Science-Islamabad Campus,33.634714,73.1365996
15,"College of EME, NUST",33.62186563609877,72.9595478300225
16,قائداعظم یونیورسٹی,33.74577185893778,73.15256816774401
17,NIT,33.640447042274985,72.98462727188655
18,Center for Advanced Studies in Engineering,33.71927720234844,73.09681993713956
19,FAST-NU HQ,33.68108195000001,73.03714910000001
20,SAARC Human Resource Center,33.67309273839109,73.14735829331907
21,Pakistan Institute of Engineering and Applied Sciences (PIEAS),33.65356902097536,73.26700038495251
22,COMSATS University Islamabad,33.649849785112785,73.1559619639969
23,National Agriculture Research Centre,33.67710467188011,73.13982671760783
24,وفاقی جامعہ اردو,33.698490200177105,73.07117076359015
25,IIDC,33.70507841620969,73.07965098900299
26,PCNA ( Pakistan Council of National Arts,33.73040293449101,73.09112491104186
27,ASAB,33.646366482400474,72.9878604999425
28,NICE,33.640714699885265,72.98523199563695
29,SMME workshop,33.63612971712576,72.99071113861135
30,National Defence University,33.722038991409725,73.02229569039
31,"FAST - National University of Computer and Emerging Sciences, Islamabad",33.65646586130876,73.01643648934368
32,Riphah International University,33.61673434587374,72.97246103588677
33,"NAZIR LIBRARY, NUML",33.66711757673323,73.05069814681538
34,Women Institute of Science and Humanities (WISH),33.68265680797555,73.06008252117134
35,MAJU University,33.547465840498326,73.1837812409864
36,National University of Sciences and Technology (NUST),33.64418713953543,72.99228701712642
37,National University Of Technology (NUTECH),33.62840006500368,73.01085453579309
38,بین الاقوامی اسلامی یونیورسٹی,33.66262710504506,73.02732723851993
39,QAU School of Law,33.74559340000833,73.13846371115189
40,Hamdard University,33.6483063557413,73.15702549770431
41,Allama Iqbal Open University,33.68271353885461,73.05461520707073
42,Preston University Islamabad,33.67486936584946,73.06378797351869
