,name,lat,lon
0,Daman-e-Koh,33.7383666,73.0570403
1,Golden Dragon,33.7263387,73.0577749
2,"Isloo Grill, Pir Sohawa",33.7843301,73.1103956
3,Islamabad Vintage Quisine,33.7294496,73.0749265
4,Kitchen Cusine Grill,33.721965,73.0617424
5,Zefra Restaurant,33.7217479,73.0621813
6,Luna Caprese,33.7303805,73.075362
7,پیزا ہٹ,33.7221222,73.0587849
8,Canadian Club,33.7209943,73.1123473
9,cafe lazeez,33.7188394,73.0547032
10,Nando's,33.7299525,73.0779994
11,Mehraaj Hotel,33.6882811,73.0325471
12,Shanwari Resturant‎,33.68505,73.0428398
13,Savour Foods,33.7132176,73.0634842
14,Des Pardes,33.744315,73.067953
15,Khokhar Hotel,33.5698653,73.1558798
16,Hana Restaurant,33.6668683,73.073812
17,Habibi Restaurant,33.666282,73.0740707
18,Spicy Nandoos,33.643523,73.162546
19,Zeeshan Meat & Chicken Shop,33.7092377,73.0688236
20,Karachi Biryani & Nihari House,33.711254,73.0379505
21,Naan Centre and Restaurant,33.7183104,73.0911371
22,Papasalis Italian Restaurant,33.7225554,73.0597695
23,Atrio Cafe & Grill,33.7221913,73.057977
24,Cheema and Chatta,33.6827142,72.9803594
25,چائنا ٹاؤن,33.7094263,73.0464423
26,Khiva,33.7219919,73.0588019
27,Kishmish,33.7213731,73.0593553
28,Roasters,33.7193315,73.0552023
29,Allah Ho Restaurant,33.6256267,72.9702873
30,Bismillah Abbasi Restaurant & Naan Centre,33.6887558,73.0504032
31,Best Western,33.6868444,73.1070966
32,پیزا ہٹ,33.6672649,73.0751655
33,Dhaba,33.6537573,73.0640229
34,Tandoori Restaurant,33.6986522,73.0474613
35,کیفے 1969,33.6867733,73.0732134
36,pizzaholic,33.7440674,73.0681815
37,Polo Lounge,33.7442729,73.0681815
38,Paratha House,33.699055,73.0498786
39,Shinwari Tikka,33.6244901,72.9708134
40,Pakistan Restaurant,33.6255097,72.9704757
41,پیزا ہٹ,33.7076945,73.0490128
42,Old dhaba,33.6688258,73.0571436
43,Markaz Dhaba,33.6678428,72.9951411
44,Khyber Shinwari Restaurant,33.6670121,72.9979714
45,Zeeshan Restaurant,33.667754,72.9974998
46,The Naan Cafe,33.6681921,72.9971665
47,Naan Shaan,33.6679502,72.9973515
48,Silver Grill,33.6687391,72.9964124
49,Food Gear,33.6685138,72.9965027
50,Amigos Cuisine,33.6679723,72.9986473
51,Dera Khyber Restaurant,33.6681673,72.9984889
52,New Quetta Shah G Cafe,33.6682802,72.9983973
53,New Quetta BOLAN Resturant,33.6684537,72.9971773
54,CRISPY BROAST,33.6686848,72.9970602
55,PIZZA COTTAGE,33.668784,72.99783
56,Karachi Nights Restaurant,33.6689207,72.9980773
57,Maizban Tandoori Kababish Restaurant,33.6691183,72.9979118
58,Ali Baba Restaurant,33.6696362,72.9990054
59,The Paratha Co.,33.6702242,72.9994671
60,Domino's Pizza G-11,33.6700563,72.9992924
61,Bread n Cakes,33.6699329,72.9993861
62,Rewayat Restaurant,33.6699146,72.9997512
63,Zaiqa Restaurant,33.6649946,72.98994
64,Awami Hotel & Restaurant,33.6629875,72.9914468
65,پزیلا پیزا,33.6604263,72.993303
66,سوپر گرل ریستوراں,33.6594749,72.9942208
67,Makkah Al-Shahbaz Restaurant,33.668161,72.9875616
68,Syrian Baklava,33.675808,72.9947831
69,Neemroz: Afghan Balous Cuisine,33.6845359,72.9928415
70,Naan Warka,33.6824086,72.9806022
71,Abbasi Hotel & Restaurant,33.6756264,72.9818844
72,Al-Madina Restaurant,33.6734139,72.9835282
73,Pak Afghan,33.6846343,73.0421052
74,Alam Chapli Kabab & Peshawari BBQ,33.6852159,73.0431493
75,"Baba Balochi Saji, Kabli Palao & Fish Corner",33.6852988,73.043321
76,New Shinwari,33.6852174,73.0433696
77,Baba G Murgh Pulao,33.6853278,73.0433645
78,Khyber Afghan Restaurant,33.6855393,73.0437697
79,Afghani Kabab House,33.6808979,73.0351274
80,3 BBB Restaurant BBQ,33.6788749,73.0313104
81,Chilman,33.6871431,73.0352414
82,Darbar,33.6882881,73.0338617
83,Al Usman Restaurant,33.6899531,73.0317197
84,Hubba Bubba Eat & Chill,33.6899851,73.0323284
85,Anarkali,33.6901137,73.0327431
86,تندوری,33.6867378,73.0061577
87,Serai Bistro,33.7318576,73.122402
88,Nirvana Lounge,33.7223405,73.0881298
89,Umania Restaurant,33.7353075,73.171204
90,Mr. Cod,33.7260913,73.0877828
91,Fijji's Grill,33.7254731,73.0866252
92,BBQ Tonight,33.7252265,73.0866065
93,Shenwari Foods,33.7238252,73.084277
94,Hamza Food,33.7237682,73.0833041
95,Abbasi Restaurant,33.7231617,73.0827422
96,Usmania Restaurant,33.7209365,73.0779117
97,Ramna Restaurant,33.7202601,73.076643
98,Shah Restaurant,33.7203566,73.0773636
99,Chef Mehbobs Kitchen,33.7201748,73.076503
100,Raza Restaurant,33.7200527,73.076701
101,Salt n Pepper,33.7193565,73.0754343
102,Omar Khayyam Restaurant,33.7187113,73.0738577
103,Go Organic,33.7198012,73.0737336
104,Halwa Puri,33.7172481,73.0843474
105,Royal Afghan,33.717815,73.0855873
106,Phajja Siri Paye,33.7176107,73.0849384
107,Taste & Taste,33.7169045,73.0846689
108,New Raja Restaurant,33.7167883,73.0849712
109,Avari Tower Isl,33.716133,73.0860537
110,منچیز,33.6996334,72.9728583
