name,geometry,lat,lon
Melody Food Market,POINT (73.0850592 33.7181471),33.7181471,73.0850592
Melody Market,POINT (73.0845654 33.7168084),33.7168084,73.0845654
Savour Foods,POINT (73.063979 33.7131887),33.7131887,73.063979
فاطمہ جناح پارک,"POLYGON ((73.0154655 33.6965674, 73.01622 33.6955379, 73.0170354 33.6959378, 73.0162973 33.6969589, 73.0154655 33.6965674))",33.696250902675196,73.01625316715938
Trail 3 Parking,"POLYGON ((73.081116 33.7418004, 73.0809869 33.7420088, 73.0815971 33.7423032, 73.0816548 33.7423319, 73.0821756 33.7425911, 73.0822019 33.7426011, 73.082328 33.7424114, 73.0823427 33.7423892, 73.0823268 33.7423815, 73.0812161 33.7418442, 73.0811942 33.7418336, 73.081116 33.7418004))",33.742200105462366,73.08166568636219
Jahangir Parking,"POLYGON ((73.029833 33.692311, 73.0300304 33.6924181, 73.0301505 33.692261, 73.0301216 33.6922433, 73.0299531 33.6921468, 73.029833 33.692311))",33.69228354108817,73.029991606844
Karachi company,"POLYGON ((73.0324936 33.6890105, 73.0328242 33.6885863, 73.0329461 33.6886443, 73.0326237 33.6890719, 73.0324936 33.6890105))",33.68883047875417,73.03272017944768
Pakistan Monument Parking,"POLYGON ((73.0706846 33.6939049, 73.0709215 33.694104, 73.0711682 33.6943107, 73.0712798 33.6943948, 73.0714785 33.6943644, 73.0715134 33.694257, 73.0714942 33.6941772, 73.0713844 33.6940612, 73.0712554 33.6940975, 73.0710218 33.6938886, 73.0707271 33.6935579, 73.0705354 33.6930647, 73.0702808 33.6931009, 73.0704116 33.6934592, 73.0700803 33.6935782, 73.0702181 33.6938581, 73.0705506 33.6937211, 73.0706846 33.6939049))",33.693758644484674,73.070740152615
Genral Car park,"POLYGON ((72.9555734 33.6228991, 72.9548277 33.6226802, 72.9547419 33.6232565, 72.9551871 33.6233369, 72.9555734 33.6228991))",33.62301860175303,72.95508780162942
Blue Area Car parking,"POLYGON ((73.0676151 33.7148895, 73.0683125 33.7152822, 73.0679815 33.715715, 73.0672949 33.7153312, 73.0676151 33.7148895))",33.7153036795118,73.06780121773042
NICE parking Area,"POLYGON ((72.9844775 33.6414546, 72.9845821 33.6413318, 72.9848503 33.6414724, 72.9848825 33.6414412, 72.985022 33.6415149, 72.9852848 33.6411933, 72.984845 33.6409521, 72.9848959 33.6408785, 72.9848718 33.6408695, 72.9848128 33.6408941, 72.9848181 33.640932, 72.9847591 33.6409365, 72.9843836 33.6414144, 72.9844775 33.6414546))",33.6412314651093,72.98485926693701
SEECS Car parking,"POLYGON ((72.9893123 33.6428439, 72.9897682 33.6426429, 72.9901759 33.6433128, 72.990133 33.6433307, 72.9892412 33.6436745, 72.9891561 33.6435288, 72.9890715 33.6433782, 72.9890548 33.6433485, 72.9895376 33.6431922, 72.9894966 33.6431253, 72.9893123 33.6428439))",33.64318700926675,72.98962820637658
IAEC & RIMMS Car Parking,"POLYGON ((72.9880048 33.6438399, 72.9874456 33.6440855, 72.9874617 33.6441257, 72.9873784 33.6441528, 72.9873437 33.6441704, 72.9872309 33.6442265, 72.9872149 33.6441927, 72.9865645 33.644445, 72.9864727 33.6443336, 72.986491 33.6442442, 72.9866008 33.6441969, 72.9878756 33.6437452, 72.9880048 33.6438399))",33.64409974574954,72.98717340403928
IGIS Parking,"POLYGON ((72.9887416 33.6453235, 72.9889286 33.6452507, 72.9887314 33.6448939, 72.9885517 33.6449703, 72.9887416 33.6453235))",33.64511021064328,72.98873894070894
New Igis Parking,"POLYGON ((72.9879831 33.6452662, 72.988201 33.6451895, 72.9881638 33.645148, 72.9879536 33.6452215, 72.9879831 33.6452662))",33.64520649121432,72.98807531667435
