place_id,name,lat,lon,rating,user_ratings_total,types
ChIJUYF0aMaj3zgRAhsGNjUMo_g,Leaf Care Pharmacy,33.6880477,72.8196093,4.3,15.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJH_CgY-qj3zgRgTUG-DfBRtk,Health Hub Pharmacy B17,33.6883686,72.8207592,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJPWGNsFKj3zgRFKXe7ffMYyU,Care Point Pharmacy C1 B17,33.6849921,72.8133265,3.6,7.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJOfW8LZij3zgR57ZwYtMvBc8,Margalla Diagnostic Center & Pharmacy,33.6809782,72.8190564,3.7,3.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJG7Vbi8Ol3zgRcDShd89zH80,CENTRAL PHARMACY,33.7326924,72.81449099999999,5.0,2.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJ97cWWjWl3zgR5LDqnw6a_Qo,Al-SYED PHARMACY,33.735672,72.8178514,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJQw_UfwCl3zgR4qpBIjAQ0HY,Usman Pharmacy,33.7369206,72.81841109999999,2.3,3.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJS8CXHACl3zgRjyv6v14SJsY,Arif Medical Store,33.74701489999999,72.81778609999999,4.0,2.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJ0-HwTRqk3zgREvQWKMw3GbY,Al-Habib Homeopathic Clinic & Store,33.745947,72.8134549,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJOXFnYMyl3zgR6r1HLYdh_uc,Doc Zafar,33.7459558,72.8130884,5.0,1.0,"drugstore, pharmacy, point_of_interest, health, store, establishment"
ChIJ9WluWJal3zgRENe98VYO0JE,Zohan Pharmacy,33.7463704,72.8128357,5.0,2.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJxwWLaQCl3zgRu9jqq4hi7OA,One Ten Pharmacy,33.7466161,72.8124491,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJDSCZxhuk3zgRWj_cfrPXrL8,Asif Dawakhana,33.7467316,72.812123,1.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJUQ5pwWel3zgRQ3ob0EXQ4cU,Mir Brothers pharmacy,33.7469671,72.8116908,4.8,4.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJUUYW-huk3zgRECfSntNNDK4,Quetta Electric Works Shop and Nelaam Ghar,33.7469387,72.81064669999999,4.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJjyuP-Ruk3zgR8NQS2rcsDCc,Minhaj Homeo Service & Store,33.7469753,72.81053399999999,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJNx5yJQCV3zgRF5IRzaq-fSk,BISMILLAH PHARMACY & COSMETICS,33.74078129999999,72.8182156,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJXalmEuOl3zgRHOuarZYDJb0,AFEEF MEDISIST,33.748372,72.8079257,4.3,7.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJmwe24EKl3zgRbvN90WNfCfc,Mehmand pharmacy,33.7721754,72.8139372,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJK7b3CACl3zgRuj3gmpbv5Uw,A.S Pharmacy & Clinic,33.763887,72.8091934,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJp9PGjnOl3zgRQKq64tONH-8,Ali pharmacy,33.76393839999999,72.8088748,4.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJwfNGwGKj3zgRw1k2a1Dt82g,Tahir Pharmacy,33.6867549,72.8363361,4.5,61.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJ8QsVOQCj3zgR7F2tZWTIQeo,Al Samad Pharmacy,33.6862647,72.8391328,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJhx8l9baj3zgRmMtcm9m2Tis,Sessna Pharmacy,33.6876699,72.83055039999999,4.2,14.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJNXhBROuj3zgRYu0dsdCJu5w,Iqbal Homeopathic Clinic And Store,33.688696,72.83012459999999,3.2,9.0,"drugstore, pharmacy, point_of_interest, store, health, establishment"
ChIJoVlMuAOj3zgR5Y0VMQ2cqpc,Royal Medics Pharmacy,33.68721069999999,72.8300902,5.0,124.0,"pharmacy, grocery_or_supermarket, point_of_interest, food, store, health, establishment"
ChIJ9YHLpQOj3zgRKTxpHzvlV8s,B&S Pharmacy B-17,33.6873922,72.8299016,4.8,6.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJO9vKtZuj3zgR8zm3X0iU0DY,The Pharmacist,33.6920113,72.8312631,3.7,7.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJo0i_ZQCj3zgR08BIEKVpQKU,Bilal Pharmacy & Healthcare,33.6880617,72.8296232,5.0,6.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJlV7jfwCj3zgRjyA_vhb4Ds0,D. Watson B-17 Islamabad,33.688033,72.82939979999999,3.8,59.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJe541GpCj3zgRfeHgfcwlavk,Alpha Pet Care | Animal Hospital | Veterinary Clinic | Pet Supplies,33.6922615,72.8298638,4.9,99.0,"pet_store, pharmacy, veterinary_care, point_of_interest, food, store, health, establishment"
ChIJ-yWtmYmj3zgR6QDk1ApFcCM,Eman Pharmacy,33.6912109,72.8290659,4.0,4.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJp2HWo--j3zgRDSu-cO3VWM4,Eman Pharmacy,33.6795287,72.83593619999999,3.7,3.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJpYL4IwCj3zgR2o8TRPuvdcc,MediCheck Pharmacy,33.6794922,72.8358532,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJDUgdRwCl3zgRZJRz8YxDB-4,New medicine point,33.7462826,72.8397317,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJ17-J6Cql3zgRsJfkNHN3anw,Raza Veterinary Store,33.7462826,72.8397317,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJfye2Tdel3zgRA0uTtCe_e64,VCARE Pharmacy & Cosmetics,33.7633282,72.83242700000001,5.0,1.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJI-P7VwCZ3zgRBYa0i0ikzKI,T&S Pharmacy,33.5868489,72.86009969999999,5.0,2.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJPY5xrL2X3zgRTXb-L9eM5Mc,MediSign Pharmacy & Clinic,33.5831856,72.86232849999999,5.0,60.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJY5EOsxiZ3zgR4toDaxn06b4,"HS Pharmacy and Cosmetics, TopCity",33.5825325,72.8627604,4.0,3.0,"pharmacy, health, store, point_of_interest, establishment"
ChIJZS4lM1KY3zgRq9UXuCb-LoE,Khan Medical Store,33.6127121,72.8604651,,,"pharmacy, health, store, point_of_interest, establishment"
ChIJvXnQdXKZ3zgR7etVX6ik0Z4,"Hanif Medical Complex - Faisal Town, Islamabad",33.6091671,72.8657494,4.8,222.0,"hospital, pharmacy, health, store, point_of_interest, establishment"
ChIJV34QXLSZ3zgRs_UdoqBfhio,Green health pharmacy & General Store,33.6332103,72.8576014,4.5,11.0,"pharmacy, food, point_of_interest, health, store, establishment"
ChIJmXF9WEGj3zgRwpt6tK7wisM,Suleman Ali shah,33.6622084,72.8538326,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJ4b2jbpCj3zgRh80GklCKz8E,Bismillah Pharmacy,33.6745825,72.85131609999999,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJVWPrcAC93zgRcapv9HEvuls,Eman Pharmacy,33.6593945,72.8557749,5.0,4.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJQa_nNwCl3zgRu5E5oSrmrrY,Khan pharmacy and clinic,33.7700246,72.8569632,5.0,1.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJ_UUBPwCZ3zgRPhI2ZVNUv7s,Medily+ Pharmacy,33.5840896,72.8808366,5.0,2.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJOQRdQACZ3zgR5kbq5HT2uCM,Medibest Pharmacy,33.6113125,72.8695625,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJ9w1L8YWZ3zgRZdy2lxBQqwU,Amna Pharmacy,33.61182700000001,72.86917,4.6,9.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJF77rimyZ3zgRmr2j1_rnVCg,KUNWAR'PHARMACY,33.6111439,72.8687686,5.0,2.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJb2zXQz6Y3zgRMoP9Ldl_Tc0,MediGreen Mart/Pharmacy,33.6307721,72.8793128,4.7,14.0,"pharmacy, grocery_or_supermarket, health, food, point_of_interest, store, establishment"
ChIJW5mXPgCZ3zgRUj9vOX877So,Marsh & Parsons pharmacy & Health Care,33.6300876,72.87961109999999,5.0,3.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJ68ozIYWZ3zgR6ILfib1P8Rs,Harmain Homeo Store,33.6306509,72.87903899999999,5.0,1.0,"drugstore, pharmacy, health, point_of_interest, store, establishment"
ChIJHTjrg5SZ3zgRi76Gk0K9VKk,Medmart Pharmacy,33.6310655,72.8801723,4.2,13.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJeXnkemGZ3zgRTNjTx4Dx6WM,Mehria 11 Homeo Clinic Dr.ADNAN AZIZ,33.6294742,72.8817061,3.4,11.0,"drugstore, pharmacy, hospital, doctor, health, point_of_interest, store, establishment"
ChIJ6UhDrBCZ3zgRV2ynXIG6sJE,Medi Green Medical & Dental Clinic (Health Care Center),33.6317664,72.87987799999999,5.0,2.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJX_rK2zeY3zgRwf-0Xh1usaQ,Usama Medicose Store,33.6192768,72.87572779999999,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJNUdJEOik3zgRhI0O5m2PslQ,Niaz Medical Store,33.772111,72.874284,3.0,3.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJn9Tctoql3zgRehsCk_vH5SQ,Natural Homoeopathic Clinic,33.774265,72.8793997,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJ-3taEB-Y3zgR4cIcQnG43Ks,Khalsa Unani Dawakhana,33.636587,72.8950844,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJrYKk3qCX3zgRHbrCcQJi9MY,Abdullah Pharmacy Tarnol,33.6468526,72.9065365,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJawF-5vCX3zgRbcntaJMJYJ0,Rehman Medical Store,33.6450838,72.9065375,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJDWmB5fCX3zgR1Fni1N37S00,Raheem Medical Store,33.6452619,72.90672760000001,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJRTb7LPSX3zgRXIJoCYh1X4g,Behra Jaded Dawakhana,33.6407404,72.9018668,4.0,4.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJcW6sVL-Z3zgRB9rBaDgTS2c,Alpha pharmacy & cosmetics,33.6556176,72.8935157,5.0,8.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJm3l0g_qX3zgRg_L5PGzwafo,Al-Malik Homeo Clinic,33.64783879999999,72.9082749,4.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJCwV0QkW93zgRDxu9Y6kFtCI,Al ghazi medical store,33.66429189999999,72.8989197,5.0,2.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJxfRSh4W93zgR3dn88ujlX4w,Huzaifa pharmacy,33.6642743,72.8988724,1.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJuSVylwG93zgRMCHC7-_peZE,All Jannat PHARMACY and COSMETICS,33.66423500000001,72.8988178,4.4,13.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJfdwgj9ij3zgRywgAiiD3WOw,New Fayyaz Medical Store,33.66827489999999,72.89261929999999,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJVZI5Tb-j3zgRmz2or_8GEdQ,Al-samad pharmacy & cosmetics,33.6687774,72.8925223,5.0,1.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJAQL5PHCj3zgRz0PEn_MoNe8,UK pharmacy,33.6635942,72.89746459999999,5.0,5.0,"pharmacy, point_of_interest, health, store, establishment"
ChIJWV9dLWuj3zgRtLXf_ZzFC54,Al Khidmat Medical Store & Clinic,33.66140669999999,72.89711849999999,,,"pharmacy, point_of_interest, health, store, establishment"
ChIJ5akUWgG73zgRteiHD87b_c0,Friends homeopathic clinic,33.7879829,72.90082129999999,5.0,1.0,"drugstore, pharmacy, health, point_of_interest, store, establishment"
ChIJed5V6xe73zgR6x0h-rQlIqQ,Fazal e Elahi dawakhana,33.7899781,72.903424,4.7,3.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJ9_1VIgC73zgROHiemK8x-iU,Khan pharmacy,33.7903987,72.904288,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJu9U9WACP3zgRYc2OgPXqr-k,Mohra chaper,33.4709303,72.9229414,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJ7SwwegCP3zgRZ04Hfn6yQZk,Moin pharmacy,33.4709303,72.9229414,5.0,3.0,"pharmacy, point_of_interest, store, health, establishment"
ChIJncUSJZGP3zgRDUCWxudsPI0,Friends Pharmacy,33.4709303,72.9229414,,,"pharmacy, point_of_interest, store, health, establishment"
ChIJmZFrWZWP3zgRs3ciCdp6BAo,Maira Sharif,33.4640208,72.9220752,4.5,71.0,"drugstore, pharmacy, place_of_worship, university, school, point_of_interest, store, health, establishment"
ChIJITh7IpaX3zgRYy0Su5lylyU,I M Medicose,33.6317968,72.9219202,4.8,4.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJvSzeEJaX3zgR8FPTPgboqLs,New Alees Pharmacy,33.6320702,72.9215562,4.8,79.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJCcgStz2X3zgRcZ7WQtZD-S8,MALAK PHARMACY.,33.63193810000001,72.92180359999999,5.0,3.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJ52LtXcSX3zgRiPENS99PoVs,Mkas pharmacy,33.6318558,72.9219138,5.0,2.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJnfGonN6X3zgRYqVyJ0nIZq8,Dr.Ali's veterinary hospital,33.6334773,72.9186582,4.9,202.0,"pharmacy, veterinary_care, pet_store, health, point_of_interest, store, establishment"
ChIJS38a8UWX3zgRb2CEro6bQPA,Standard Pharmacy G 15,33.6330037,72.9227559,4.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
