name,geometry,lat,lon
Shaheen Pharmacy,POINT (73.0755121 33.7297173),33.7297173,73.0755121
Watsons,POINT (73.0753504 33.7296318),33.7296318,73.0753504
GNC,POINT (73.0790634 33.7316274),33.7316274,73.0790634
Goodwill Pharmacy,POINT (73.0822723 33.7225704),33.7225704,73.0822723
Ateeqa Medical Store,POINT (73.1762726 33.6454292),33.6454292,73.1762726
Mehria Medical Store,POINT (73.1815083 33.6455319),33.6455319,73.1815083
Hamza Medical Store,POINT (73.1831712 33.6450541),33.6450541,73.1831712
Alipur Medical Store,POINT (73.1807841 33.6451345),33.6451345,73.1807841
New Gujarkhan Medical Store,POINT (73.1769163 33.6454783),33.6454783,73.1769163
GujarKhan Medical Store,POINT (73.183488 33.6450498),33.6450498,73.183488
FGD- G7/1 Dispensary,POINT (73.0702433 33.7001979),33.7001979,73.0702433
Federal Government Dispensary - G-7/1,POINT (73.0714557 33.7004344),33.7004344,73.0714557
Sheheryar Medical Store,POINT (73.1539679 33.5414841),33.5414841,73.1539679
Shaheen Chemist,POINT (73.0753908 33.6673746),33.6673746,73.0753908
alhafeez medical store,POINT (73.0669738 33.6616107),33.6616107,73.0669738
medhelp chemist,POINT (73.0142582 33.69503),33.69503,73.0142582
al muslim pharmacy,POINT (73.0429764 33.6850003),33.6850003,73.0429764
khalid pharmacy,POINT (73.0428914 33.6849474),33.6849474,73.0428914
Truworth Drug store,POINT (73.0842635 33.7166075),33.7166075,73.0842635
Al-Rehman Medical Store,POINT (72.9968373 33.6686625),33.6686625,72.9968373
"FGD - G-10/3, Dispensary",POINT (73.0135267 33.6836701),33.6836701,73.0135267
My Chemist,POINT (73.0417726 33.6846171),33.6846171,73.0417726
Nayab Labs & Diagnostic Centre,POINT (73.0820408 33.7224539),33.7224539,73.0820408
Shaheen Chemist,POINT (72.9888393 33.683332),33.683332,72.9888393
D.Watson Chemist,POINT (73.0555289 33.7088753),33.7088753,73.0555289
Citi Lab,POINT (73.0567891 33.7092472),33.7092472,73.0567891
Shaukat Khanum Laboratory Collection Centre,POINT (73.0579085 33.7098416),33.7098416,73.0579085
Federal Government Dispensar,POINT (73.0704198 33.7117683),33.7117683,73.0704198
Minahil Pharmacy,POINT (73.0681151 33.7054526),33.7054526,73.0681151
Shaheen Chemist,POINT (73.0487727 33.6992541),33.6992541,73.0487727
Waheed Chemist And Optics,POINT (73.0485887 33.6991657),33.6991657,73.0485887
Postal Dispensary,POINT (73.0570095 33.6930909),33.6930909,73.0570095
Al-Amin Chemist,POINT (72.9969804 33.6685086),33.6685086,72.9969804
Medix Plus,POINT (73.1523104 33.5652284),33.5652284,73.1523104
Al Latif Pharmacy,POINT (73.1606153 33.53075),33.53075,73.1606153
Boots Pharmacy Grocery Cosmetics,POINT (72.9724163 33.6246231),33.6246231,72.9724163
Shaheen Chemist,POINT (73.0002249 33.669264),33.669264,73.0002249
Shaheen Chemist,POINT (73.0554701 33.7089655),33.7089655,73.0554701
Anwar Capital Hospital Pharmacy,POINT (72.9643448 33.6453905),33.6453905,72.9643448
Healer’s Pharmacy,POINT (73.013833 33.6754692),33.6754692,73.013833
TM Pharmacy,POINT (73.0144411 33.6760172),33.6760172,73.0144411
Medicin Square,POINT (73.01392 33.6757188),33.6757188,73.01392
Iqbal Pharmacy,POINT (72.9587939 33.6439991),33.6439991,72.9587939
Nasir Pharmacy,POINT (72.9634726 33.6452554),33.6452554,72.9634726
Najeeb Pharmacy,POINT (72.9718291 33.650484),33.650484,72.9718291
B&S Pharmacy,POINT (72.8560532 33.6584431),33.6584431,72.8560532
Islamabad Pharma,POINT (72.8559934 33.6585124),33.6585124,72.8559934
Health Care Pharmacy,POINT (73.1599745 33.6248116),33.6248116,73.1599745
Prime Pharmacy,POINT (73.1375852 33.6161371),33.6161371,73.1375852
D Watson Medicine,POINT (73.1600509 33.5311546),33.5311546,73.1600509
Medicure Pharmacy,POINT (73.1579644 33.5311955),33.5311955,73.1579644
Ali Medical Store,"POLYGON ((73.1996021 33.6428854, 73.1996342 33.6427067, 73.1994304 33.6427023, 73.1994191 33.6428758, 73.1996021 33.6428854))",33.64279104676123,73.19952218004136
