name,geometry,lat,lon
Daman-e-Koh,POINT (73.0570403 33.7383666),33.7383666,73.0570403
Golden Dragon,POINT (73.0577749 33.7263387),33.7263387,73.0577749
"Isloo Grill, Pir Sohawa",POINT (73.1103956 33.7843301),33.7843301,73.1103956
Islamabad Vintage Quisine,POINT (73.0749265 33.7294496),33.7294496,73.0749265
Kitchen Cusine Grill,POINT (73.0617424 33.721965),33.721965,73.0617424
Zefra Restaurant,POINT (73.0621813 33.7217479),33.7217479,73.0621813
Luna Caprese,POINT (73.075362 33.7303805),33.7303805,73.075362
پیزا ہٹ,POINT (73.0587849 33.7221222),33.7221222,73.0587849
Canadian Club,POINT (73.1123473 33.7209943),33.7209943,73.1123473
cafe lazeez,POINT (73.0547032 33.7188394),33.7188394,73.0547032
Nando's,POINT (73.0779994 33.7299525),33.7299525,73.0779994
Mehraaj Hotel,POINT (73.0325471 33.6882811),33.6882811,73.0325471
Shanwari Resturant‎,POINT (73.0428398 33.68505),33.68505,73.0428398
Savour Foods,POINT (73.0634842 33.7132176),33.7132176,73.0634842
Des Pardes,POINT (73.067953 33.744315),33.744315,73.067953
Khokhar Hotel,POINT (73.1558798 33.5698653),33.5698653,73.1558798
Hana Restaurant,POINT (73.073812 33.6668683),33.6668683,73.073812
Habibi Restaurant,POINT (73.0740707 33.666282),33.666282,73.0740707
Spicy Nandoos,POINT (73.162546 33.643523),33.643523,73.162546
Zeeshan Meat & Chicken Shop,POINT (73.0688236 33.7092377),33.7092377,73.0688236
Karachi Biryani & Nihari House,POINT (73.0379505 33.711254),33.711254,73.0379505
Naan Centre and Restaurant,POINT (73.0911371 33.7183104),33.7183104,73.0911371
Papasalis Italian Restaurant,POINT (73.0597695 33.7225554),33.7225554,73.0597695
Atrio Cafe & Grill,POINT (73.057977 33.7221913),33.7221913,73.057977
Cheema and Chatta,POINT (72.9803594 33.6827142),33.6827142,72.9803594
چائنا ٹاؤن,POINT (73.0464423 33.7094263),33.7094263,73.0464423
Khiva,POINT (73.0588019 33.7219919),33.7219919,73.0588019
